codice;pro_com;nome;nome_lower;PARTITO DEMOCRATICO;+EUROPA;ITALIA EUROPA INSIEME;CIVICA POPOLARE LORENZIN;LEGA;FORZA ITALIA;FRATELLI D'ITALIA CON GIORGIA MELONI;NOI CON L'ITALIA - UDC;MOVIMENTO 5 STELLE;LIBERI E UGUALI;POTERE AL POPOLO!;CASAPOUND ITALIA;IL POPOLO DELLA FAMIGLIA;PARTITO VALORE UMANO;ITALIA AGLI ITALIANI;10 VOLTE MEGLIO;PER UNA SINISTRA RIVOLUZIONARIA;PARTITO REPUBBLICANO ITALIANO - ALA;GRANDE NORD;BLOCCO NAZIONALE PER LE LIBERTA';ITALIA NEL CUORE;SIAMO;LISTA DEL POPOLO PER LA COSTITUZIONE;PATTO PER L'AUTONOMIA;RINASCIMENTO MIR;PARTITO COMUNISTA;AUTODETERMINATZIONE;POUR TOUS PER TUTTI PE TCHEUT;PD-UV-UVP-EPAV;RISPOSTA CIVICA;FI -FRAT. D'IT. -MOV.NUOVA VALLE D'AOSTA;SVP - PATT;Total;CSIN;CSINPIU;CDES;PARTITO DEMOCRATICO 2013;FORZA ITALIA 2013;LEGA 2013;MOVIMENTO 5 STELLE 2013
14111050090;109009;LAPEDONA;Lapedona;134;7;1;3;152;89;30;11;248;23;8;9;9;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;728;145;168;282;176;141;6;236
14111050100;109010;MAGLIANO DI TENNA;Magliano di Tenna;158;15;2;4;138;80;26;5;283;14;9;11;2;6;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;759;179;193;249;219;161;2;253
14111050120;109012;MONSAMPIETRO MORICO;Monsampietro Morico;56;3;2;6;53;39;16;1;159;9;3;9;1;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;362;67;76;109;77;73;1;141
14111050140;109014;MONTEFALCONE APPENNINO;Montefalcone Appennino;52;4;2;7;36;30;9;2;76;5;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;233;65;70;77;87;54;3;73
14111050150;109015;MONTEFORTINO;Montefortino;93;3;1;6;135;80;30;12;122;29;3;5;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;523;103;132;257;159;163;5;220
14111050160;109016;MONTE GIBERTO;Monte Giberto;61;10;0;7;89;49;47;6;130;13;3;4;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;423;78;91;191;98;110;4;129
14111050190;109019;MONTELEONE DI FERMO;Monteleone di Fermo;48;2;1;0;40;27;8;2;79;10;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;220;51;61;77;72;47;0;77
14111050200;109020;MONTELPARO;Montelparo;87;5;0;23;63;38;21;8;150;9;4;1;3;4;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;422;115;124;130;147;62;1;178
14111050210;109021;MONTE RINALDO;Monte Rinaldo;39;2;1;15;31;28;9;7;62;7;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;208;57;64;75;63;44;1;81
14111050220;109022;MONTERUBBIANO;Monterubbiano;192;17;4;6;211;170;56;10;415;27;6;16;9;8;0;0;0;0;0;0;0;0;2;0;0;11;0;0;0;0;0;0;1160;219;246;447;323;350;13;435
14111050250;109025;MONTE VIDON COMBATTE;Monte Vidon Combatte;43;4;1;14;45;25;7;4;97;3;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;253;62;65;81;58;52;0;85
14111050270;109027;MONTOTTONE;Montottone;81;10;6;8;96;71;12;2;224;9;6;4;4;3;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;540;105;114;181;128;161;4;179
14111050280;109028;MORESCO;Moresco;58;3;0;8;52;49;13;4;127;5;3;2;3;0;0;0;0;0;0;0;0;0;2;0;0;5;0;0;0;0;0;0;334;69;74;118;72;80;2;120
14111050290;109029;ORTEZZANO;Ortezzano;69;12;1;115;38;49;7;2;128;11;3;4;4;2;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;450;197;208;96;113;80;3;152
14111050300;109030;PEDASO;Pedaso;299;31;2;12;289;188;74;4;500;27;19;21;8;9;0;0;0;0;0;0;0;0;3;0;0;18;0;0;0;0;0;0;1504;344;371;555;389;336;6;538
14111050310;109031;PETRITOLI;Petritoli;234;20;4;34;228;162;71;15;452;28;14;19;9;4;0;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;1322;292;320;476;377;288;6;384
