Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
2658554;4;16/01/2016 00:30;Strada Urbana;CIRCONVALLAZIONE NOMENTANA;da specificare;;;;in prossimità di via Guido Mazzoni;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Sufficiente;Sufficiente;2;0;0;2;12,5272;41,91849;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesploso
2658554;4;16/01/2016 00:30;Strada Urbana;CIRCONVALLAZIONE NOMENTANA;da specificare;;;;in prossimità di via Guido Mazzoni;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Sufficiente;Sufficiente;2;0;0;2;12,5272;41,91849;-1;2;Ciclomotore;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;
2658554;4;16/01/2016 00:30;Strada Urbana;CIRCONVALLAZIONE NOMENTANA;da specificare;;;;in prossimità di via Guido Mazzoni;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Sufficiente;Sufficiente;2;0;0;2;12,5272;41,91849;-1;2;Ciclomotore;In marcia / fermata / arresto;Passeggero;M;Rimandato;0;NON DECEDUTO;Non accertato;
2658564;18;15/01/2016 12:15;Statale;VIA AURELIA;in prossimità;;della chilometrica;14.8;;Tamponamento;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Sufficiente;Ore Diurne;2;0;0;0;12,4138;41,89218;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Rifiuta cure immediate;0;NON DECEDUTO;;
2658564;18;15/01/2016 12:15;Statale;VIA AURELIA;in prossimità;;della chilometrica;14.8;;Tamponamento;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Sufficiente;Ore Diurne;2;0;0;0;12,4138;41,89218;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;Inesploso
2658587;1;16/01/2016 17:20;Strada Urbana;CLIVO DEI PUBLICII;in corrispondenza;;del palo luce n.;1;;Tamponamento;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Sufficiente;Sufficiente;0;0;0;3;12,48293;41,8858;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
2658587;1;16/01/2016 17:20;Strada Urbana;CLIVO DEI PUBLICII;in corrispondenza;;del palo luce n.;1;;Tamponamento;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Sufficiente;Sufficiente;0;0;0;3;12,48293;41,8858;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;
2658587;1;16/01/2016 17:20;Strada Urbana;CLIVO DEI PUBLICII;in corrispondenza;;del palo luce n.;1;;Tamponamento;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Sufficiente;Sufficiente;0;0;0;3;12,48293;41,8858;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
2658610;18;11/01/2016 05:50;Statale;VIA AURELIA;in corrispondenza;;della chilometrica;9.8;;Veicolo in marcia contro ostacolo fisso;Curva senza visuale libera;Due carreggiate;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Sufficiente;Sufficiente;1;0;0;0;12,4138;41,89218;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Rimandato;0;NON DECEDUTO;Non accertato;Inesploso
2658637;1;16/01/2016 11:25;Strada Urbana;VIA DI S. MARIA IN COSMEDIN;all'intersezione semaforizzata con;VIA DELLA GRECA;VIA DELLA GRECA;;;Scontro laterale fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;3;12,48063;41,88714;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
