Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitudine;Latitudine;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
3707011;20;01/03/2018 07:30;Regionale entro l'abitato;VIA CASSIA;da specificare;;;;dir. centro prossimità gallerie via Braccianense;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Bagnato (umidità in atto);Asfaltata;Orizzontale;Nuvoloso;Intenso;Buona;Ore Diurne;0;0;0;3;12,39177;41,99466;-1;2;Trattore stradale;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
3707069;19;01/03/2018 09:00;Strada Urbana;VIA DEL FORTE BRASCHI;in prossimità;;del civico n.;203;;Tamponamento Multiplo;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;2;12,41488;41,914;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
3707069;19;01/03/2018 09:00;Strada Urbana;VIA DEL FORTE BRASCHI;in prossimità;;del civico n.;203;;Tamponamento Multiplo;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;2;12,41488;41,914;-1;2;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;;
3707069;19;01/03/2018 09:00;Strada Urbana;VIA DEL FORTE BRASCHI;in prossimità;;del civico n.;203;;Tamponamento Multiplo;Rettilineo;Una carreggiata a doppio senso;Bagnato (pioggia);Asfaltata;Orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;2;12,41488;41,914;-1;3;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
3707098;11;01/03/2018 08:35;Strada Urbana;RAMPA USCITA G.R.A. CARREGGIATA INTERNA;all'intersezione con;VIA ARDEATINA;VIA ARDEATINA;;;Scontro laterale fra veicoli in marcia;Intersezione non regolata/non segnalata;Una carreggiata a senso unico di marcia;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;2;12,50476;41,79459;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
3707098;11;01/03/2018 08:35;Strada Urbana;RAMPA USCITA G.R.A. CARREGGIATA INTERNA;all'intersezione con;VIA ARDEATINA;VIA ARDEATINA;;;Scontro laterale fra veicoli in marcia;Intersezione non regolata/non segnalata;Una carreggiata a senso unico di marcia;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;2;12,50476;41,79459;-1;2;Autoarticolato;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
3707104;18;01/03/2018 10:00;Strada Urbana;VIA DI BOCCEA;in corrispondenza;;del civico n.;230;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;2;12,42084;41,90351;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
3707104;18;01/03/2018 10:00;Strada Urbana;VIA DI BOCCEA;in corrispondenza;;del civico n.;230;;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;2;12,42084;41,90351;-1;2;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
3707258;6;01/03/2018 11:10;Strada Urbana;VIA ERASMO GATTAMELATA;in corrispondenza;;del civico n.;43;;Tamponamento;Rettilineo;Una carreggiata a senso unico di marcia;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Ore Diurne;0;0;0;2;12,53647;41,89052;-1;1;Autocarro inferiore 35 q.;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
3707258;6;01/03/2018 11:10;Strada Urbana;VIA ERASMO GATTAMELATA;in corrispondenza;;del civico n.;43;;Tamponamento;Rettilineo;Una carreggiata a senso unico di marcia;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Scarso;Buona;Ore Diurne;0;0;0;2;12,53647;41,89052;-1;2;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
3707408;20;01/03/2018 12:00;Strada Urbana;CORSO DI FRANCIA;all'intersezione con;VIA BARTOLOMEO GOSIO;VIA BARTOLOMEO GOSIO;;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Intenso;Buona;Ore Diurne;1;0;0;2;12,47117;41,94057;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
3707408;20;01/03/2018 12:00;Strada Urbana;CORSO DI FRANCIA;all'intersezione con;VIA BARTOLOMEO GOSIO;VIA BARTOLOMEO GOSIO;;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Intenso;Buona;Ore Diurne;1;0;0;2;12,47117;41,94057;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesploso
3707408;20;01/03/2018 12:00;Strada Urbana;CORSO DI FRANCIA;all'intersezione con;VIA BARTOLOMEO GOSIO;VIA BARTOLOMEO GOSIO;;;Scontro frontale/laterale DX fra veicoli in marcia;Incrocio;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Intenso;Buona;Ore Diurne;1;0;0;2;12,47117;41,94057;-1;2;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Ricoverato;0;NON DECEDUTO;;
3707517;1;01/03/2018 09:30;Strada Urbana;VIA PIEMONTE;all'intersezione con;VIA SALLUSTIANA;VIA SALLUSTIANA;;;Veicolo in marcia contro ostacolo fisso;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;1;;;0;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;
3707528;17;01/03/2018 13:30;Strada Urbana;VIA GIUSEPPE DI BARTOLO;da specificare;;;;pross. Via Angelo Emo;Investimento di pedone;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;1;12,44402;41,90344;0;;;;Pedone;M;Rimandato;0;NON DECEDUTO;;
3707528;17;01/03/2018 13:30;Strada Urbana;VIA GIUSEPPE DI BARTOLO;da specificare;;;;pross. Via Angelo Emo;Investimento di pedone;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;1;12,44402;41,90344;0;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;
3707561;11;01/03/2018 14:30;Strada Urbana;VIA OSTIENSE;in prossimità;;del civico n.;94;;Veicolo in marcia contro ostacolo accidentale;Rettilineo;Più di due carreggiate;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;1;0;0;0;12,47921;41,86742;-1;1;Ciclomotore;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;
3707600;1;01/03/2018 11:40;Strada Urbana;VIA NAPOLEONE III;in prossimità;;del civico n.;78;;Tamponamento;Rettilineo;Più di due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;2;;;0;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
3707600;1;01/03/2018 11:40;Strada Urbana;VIA NAPOLEONE III;in prossimità;;del civico n.;78;;Tamponamento;Rettilineo;Più di due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;2;;;0;2;Quadriciclo;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;
3707613;15;01/03/2018 08:41;Strada Urbana;VIA DELLA MAGLIANA;da specificare;;;;prossimità fronte civ. 424;Scontro laterale fra veicoli in marcia;Curva a visuale libera;Una carreggiata a doppio senso;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Intenso;Sufficiente;Ore Diurne;0;0;0;2;12,41962;41,83172;-1;1;Autocarro superiore 35 q.;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
3707613;15;01/03/2018 08:41;Strada Urbana;VIA DELLA MAGLIANA;da specificare;;;;prossimità fronte civ. 424;Scontro laterale fra veicoli in marcia;Curva a visuale libera;Una carreggiata a doppio senso;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Intenso;Sufficiente;Ore Diurne;0;0;0;2;12,41962;41,83172;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;Inesploso
3707810;12;01/03/2018 16:40;Strada Urbana;VIA CRISTOFORO COLOMBO;da specificare;;;;dir. Roma centro altezza civ. 97 di via Algeria;Scontro laterale fra veicoli in marcia;Pendenza;Due carreggiate;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;3;12,4646;41,82119;-1;1;Autocarro superiore 35 q.;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
3707810;12;01/03/2018 16:40;Strada Urbana;VIA CRISTOFORO COLOMBO;da specificare;;;;dir. Roma centro altezza civ. 97 di via Algeria;Scontro laterale fra veicoli in marcia;Pendenza;Due carreggiate;Bagnato (umidità in atto);Asfaltata;Verticale ed orizzontale;Nuvoloso;Normale;Buona;Ore Diurne;0;0;0;3;12,4646;41,82119;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Utilizzato;Inesploso
