COUNTRY_ISO3;Country;Sex;Age;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;Total
AUS;Australia;Men;Total;72.0948388079852;71.8634138621742;71.7902569696482;71.5410590514524;71.5115025744198;72.0872770953145;72.237780308867;72.510723589491;72.6196884036339;72.3042395490473;72.3611538920238;72.1697290028339;71.714226979803;71.371196320814;70.936573780744;71.0826461370827;70.5577950370437;1220.7541013623786
AUT;Austria;Men;Total;68.8685471514049;68.3845027145839;68.4728430719473;68.5197834486066;66.116018447912;66.4007185961442;66.7404933708862;67.5678875582254;67.4715406512576;67.3215790606082;67.0973170906965;66.9039353988133;66.9261490127654;66.9271894029667;66.428532226134;66.4040709414948;66.7781539482166;1143.3292620926636
BEL;Belgium;Men;Total;61.5309731923387;60.9302140528244;60.8384132202564;60.5211540004665;61.1223561576982;61.380561639885;60.8567045948613;61.0851110119899;60.8468233070996;60.3753997091532;60.7947797468872;59.7148803579715;59.7399745108702;59.6658322357968;59.2265126382307;58.8873059267837;58.7097546232665;1026.2267509263797
CAN;Canada;Men;Total;72.339670768685;72.2667229263629;73.0108323189291;73.4144184912457;73.1662648315168;72.8023813439491;72.3191489582278;72.5333223519145;72.734372021846;71.9110845111471;71.5629866666554;71.4030777529061;71.0224582656666;70.8744543739923;70.564414182127;70.5961061837052;70.26585535826;1222.7875713071367
CZE;Czech Republic;Men;Total;69.8359936761152;69.4209751355065;69.3875919787626;68.68817823874;68.4371490693618;68.7007125890736;68.5490897958223;68.3350796135853;68.2043970195934;68.2983678206151;68.0433668643593;67.6148472346208;67.6907470357034;68.0717702277872;68.2006376300263;68.0155547262546;68.3883849993253;1163.8828436552526
DNK;Denmark;Men;Total;71.1955273073084;71.5558384219798;71.1375071963335;71.4076693214079;71.6083653567576;71.0980926145328;71.1051189077406;70.9469113777971;71.2201778626782;70.1985019790456;69.0779155279174;68.3894487040705;67.393238599078;66.239675922776;66.4438738674456;66.7421328882774;67.7728459211393;1183.5328417762855
FIN;Finland;Men;Total;70.5095213587236;70.7392197125257;70.1996927803379;70.1225740551583;69.598373157092;69.5035460992908;70.1816347124117;70.2661978905073;70.9081836327345;68.5884691848906;69.3675889328063;69.6507624200689;69.1327780499755;67.562286272594;68.2748538011696;68.3365758754864;68.3963898840676;1181.3386478198406
FRA;France;Men;Total;61.9133368428713;61.76224215159;61.8570433501655;63.0900833332223;62.8851838472162;62.5796666318294;62.3132984611749;62.1716868913394;62.1333918525355;62.1995601114821;62.0361449397552;61.6534901758555;61.8505399722973;61.5940891549074;61.2062381504254;60.9708697976525;60.732066171934;1052.948931836254
DEU;Germany;Men;Total;66.6395614986146;66.2884684468926;65.5446665276578;64.8133840484964;64.8382352941176;66.2559990635608;66.4265297789185;66.3404404054526;66.4115250291036;66.3054244595933;66.1843218484698;66.5856147934678;66.4197604611571;66.4082917557615;66.3273735764442;65.8707346474308;66.479982393882;1124.140314029021
GRC;Greece;Men;Total;64.7248341028465;64.0791545695456;64.0985349132957;64.3415936420354;64.354559974035;64.2955338162711;64.3543382273299;64.1570681359034;64.1746104548081;64.031545679075;63.5567890020013;62.1684546409257;61.2776457575133;60.9143338304566;60.123627120687;59.7851933700815;59.7957314485763;1070.2335486853874
HUN;Hungary;Men;Total;61.1139596462264;60.9098270416791;60.8122345649215;61.358833663271;61.2360763993824;61.7486636310372;62.5030526863172;62.2600014241938;61.6268955189834;61.3777910477359;61.3615323231541;61.8889408790724;62.8648372261004;63.8810129291675;65.7479895060184;67.1578785607;68.5587477774244;1066.408274825385
ISL;Iceland;Men;Total;86.1580204916373;86.4772512178842;85.4601263559423;85.8655894529523;85.0379014562138;86.0173719114971;87.7777777777778;87.549382606693;87.06483191565;84.683310095669;84.4441087881723;83.7316372152438;83.1240698652239;84.1906882396664;84.7073522179344;85.7450165657308;87.3670988644757;1455.401535038364
IRL;Ireland;Men;Total;71.711428711981;71.7026707468654;71.0301838450141;70.8771022258969;71.5405026209727;72.4894043655146;73.4207388208206;73.7102142375664;73.0997135051451;71.1178547993907;69.0484251911498;68.1535864770688;67.7662955423669;67.9015846072268;67.6505639923333;67.8672720205358;67.7906201008654;1196.8781618107146
ITA;Italy;Men;Total;62.1892639269855;61.9553481518284;62.035786630655;62.3084931606283;61.3058996758186;60.9309498672883;60.8419578735825;60.4411757196592;60.3912041461877;59.5723964792252;59.0830865211069;58.7159713189971;59.2412766036849;58.6476732360335;58.7044487603322;58.8810144187196;59.2507714864654;1024.4967179771982
JPN;Japan;Men;Total;76.398934145413;75.6920743268866;74.7638836418587;74.1047870335469;73.3784545967287;73.2669547247793;73.1794294294294;73.1424293468089;72.7919161676647;72.0142268813179;71.6079460269865;71.1259317379364;70.7376283846872;70.5607476635514;70.4320179539929;70.3086997193639;70.4022450888681;1233.9083068698203
KOR;Korea;Men;Total;74.3851979522769;74.3346501128668;74.9673574609126;74.7211506090258;74.9651861924344;74.5729571775424;74.0868366643694;74.0148815761895;73.5278898892684;73.081241069606;73.0199516324063;73.1398968892431;73.2540350152251;73.2191959348726;73.9902772879941;73.7961394257809;73.854553630083;1256.9313985200974
LUX;Luxembourg;Men;Total;66.0797773971742;65.6856452056455;66.455762655192;65.0805016396626;64.9098575995614;65.0829926829493;60.3707661823715;61.2986821163398;64.1417859899291;66.5968280503591;65.8305623678641;65.0460979973286;65.7019185559096;66.3334363421086;66.7528907549493;65.3970567669355;64.3235069583827;1105.0880692626629
