COUNTRY_ISO3;Country;Sex;Age;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;Total
AUS;Australia;All persons;Total;63.1380625409747;63.2985174470249;63.3639846366588;63.5860252113828;63.4595757515659;64.3978900563614;64.7562221942732;65.1762724039854;65.4810431614341;65.4312285445776;65.3906081236048;65.4196259792022;65.1373768219316;64.9120364972403;64.6750108597116;64.9637682739073;64.804990288184;1097.3922387920206
AUT;Austria;All persons;Total;58.4628178539935;58.541876759244;59.1259955086861;59.4507912968225;57.9300641998479;58.5583488050481;59.0823914195902;59.9362359117113;60.1730675273341;60.4449319889058;60.3960246789463;60.4891876766856;60.7628119330701;60.9201699989558;60.6940792504219;60.7226902298744;61.2069497611627;1016.8984348003002
BEL;Belgium;All persons;Total;52.1815242577481;51.3439031043814;51.7431195112032;51.8253345637773;52.5455530567843;53.2994171441142;53.1142993985779;53.5928121465796;53.6782082958639;53.4728382957175;54.0698568573719;53.1986125848806;53.2490733627797;53.5589993634308;53.5059784121359;53.30946284457;53.0986151208473;900.7876083207634
CAN;Canada;All persons;Total;65.756592056323;65.9072937172273;66.8604610627833;67.5610040442893;67.4868842772455;67.1408833318074;67.0179275786016;67.4421235832448;67.5602533550858;67.0915058938276;66.9132786408014;66.7044028401124;66.5059103748095;66.4552460776293;65.9911595480406;65.83844732406;65.7047537737139;1133.938127479603
CZE;Czech Republic;All persons;Total;60.398888168532;60.0196703759175;59.8518019020761;59.4240989243826;59.1753908591985;59.3643873336393;59.2616233344352;58.7710340907215;58.5053333035175;58.6774843232222;58.4441224522348;58.3279009849672;58.6413013953896;59.2754561445418;59.3100303521054;59.4242640988731;59.9219558226786;1006.7947438664328
DNK;Denmark;All persons;Total;65.5384039658576;65.940643733735;65.5190710611776;65.5058040820525;66.0309373128491;65.6487595818516;65.9327007791925;65.7132193140493;65.997131716389;65.334808254921;64.3650642283542;63.9342973335483;63.1581687373286;62.3558729062054;62.1892180457566;62.2181945281446;63.5550989238063;1098.9373945052193
FIN;Finland;All persons;Total;66.9059215585747;67.1783064722436;67.0921623691601;66.760061130922;66.4635694338665;66.8354430379747;67.3984355286399;67.6965586536046;68.0649188514357;66.6418095948297;66.5512978986403;66.609167077378;66.4620672722809;65.4843444227006;65.8363858363858;66.0409556313993;65.778900378758;1133.8003051487945
FRA;France;All persons;Total;54.765177000887;54.7410376306872;54.8898021183708;56.3396445082736;56.3218979959032;56.2385046496989;56.1487340276999;56.2745110230337;56.3644706034958;56.5808527192054;56.5123851598989;56.2623240504127;56.474356421062;56.4483924483234;56.299804369669;56.1454461710741;56.0360896247755;952.8434305224712
DEU;Germany;All persons;Total;57.5532131729901;57.5438596491228;57.2193594018389;56.919330903223;57.1348901059616;58.4773656687708;59.0240366163949;59.2029201641882;59.2985792753027;59.4595747706748;59.519943019943;60.1160620552899;60.0540556249818;60.3447527245886;60.4075754302585;60.169133723356;60.9303658783755;1003.3750181852611
GRC;Greece;All persons;Total;52.1721477164724;51.4472910506679;51.7769012734196;52.2584239255498;52.8730834832339;52.9013838796409;53.0792437110415;52.9347291510651;52.9755475653523;53.4475902976913;53.5045629783994;52.6645545361812;52.3294310004846;52.0277712104029;51.8270748500484;51.9940975799966;52.1300228105825;892.3438570202302
HUN;Hungary;All persons;Total;52.9584156613582;52.7816373275489;52.9424642965998;53.795400528624;53.7908613170649;54.4596382096294;55.0343394950486;54.7038283683109;54.2886867685832;54.2689279225185;54.835762842381;55.2357057740097;56.3208004608835;56.9504313037225;58.6851178008006;59.9413656353136;61.0888514610084;942.0822351734057
ISL;Iceland;All persons;Total;81.8229219916164;81.9488930521142;81.1380859600002;82.1280986510341;80.6879141685074;81.9331182455168;83.2777513101477;83.2492968925634;82.5588540008162;80.948288980191;81.0427365583868;80.3948984833933;80.4641706222321;81.3955198152924;81.4530887603474;82.5351223044488;83.5573317035026;1390.5360915001104
IRL;Ireland;All persons;Total;59.551433542272;59.7712174880319;59.8325681752705;59.923796754841;60.5150747730779;62.0924574125072;63.201231492349;64.1472751096137;63.7286712133384;62.4649305620471;61.1083317688895;60.5401354580609;60.1375812921315;60.5164092187627;59.9866438303896;60.1563584387796;60.488770701059;1038.1628872314216
ITA;Italy;All persons;Total;48.4897703225478;48.6934034935313;48.9452505791977;49.2387914102661;49.4715417683145;49.0534747931405;49.0768992068736;48.7525033976593;49.1015866002199;48.4773555790616;48.2051025815988;48.1433607517535;49.0834191932556;48.7932071858839;49.0585739765526;48.968503052119;49.4996687888126;831.0524126807883
JPN;Japan;All persons;Total;62.4342530220541;62.0338048870108;61.2336414386382;60.7810931654348;60.4111707450196;60.4070137185427;60.4028672534253;60.4128938790293;60.1701049583786;59.8552036199095;59.6451525300987;59.3157695223654;59.0663302090844;59.3434343434343;59.4658003970402;59.5685141722333;60.030697002528;1024.5777448642273
KOR;Korea;All persons;Total;61.1691911445682;61.4345938497878;62.0114225729738;61.4812513558319;62.0866563441225;61.9933001386448;61.8476382116967;61.8289040361492;61.4933966313982;60.8519978051579;60.9761505863802;61.140315406389;61.3256665728763;61.4639603872588;62.418142647553;62.5627952205207;62.7594145680095;1048.8447974793187
LUX;Luxembourg;All persons;Total;53.4119438958363;53.8146319387409;54.7647421179104;54.1748749003929;55.0049020942553;55.5554980024666;55.0079331088439;55.9304958141535;56.0111438592809;58.1634995092146;57.6992199153171;57.5881027285314;58.7507185730335;59.3930332031764;60.0794457217636;59.97763419667;58.9747998680339;964.3026194476212
MEX;Mexico;All persons;Total;59.2119021095711;58.3221846286254;58.4417723942098;57.882653614853;59.3370382714701;59.328806279739;60.1321688218952;60.1138724085569;59.9541306641092;59.9055731253432;59.6768750392248;59.7708929611816;60.4310018115716;60.2949115994705;59.77400215472;59.8094832094454;59.6923132080018;1012.0795823019887
NLD;Netherlands;All persons;Total;63.0588235294118;63.0653070755818;63.8085665687336;63.1498000615195;63.296080832823;63.615578080939;63.7288392924922;64.767661503589;65.4851306698708;65.5764635603345;65.0939891522401;64.7759207217867;65.2362383646952;65.1862742745123;64.6173966268124;64.3826031581652;64.0861774019032;1092.93085087541
NZL;New Zealand;All persons;Total;65.2281935271476;65.77758244561;66.5056896284942;66.2959136779037;66.9069094955445;67.6702309640534;68.1944012566278;68.4319324204194;68.3999635142592;68.1619023923557;67.9733747548508;68.3280777522674;68.031432011165;68.1858617477449;68.9594910508228;68.97683354668;69.7923652030759;1151.820155389022
NOR;Norway;All persons;Total;73.477038425492;73.4598630989421;73.5312306740878;72.8360957642726;72.644098810613;72.445871657134;72.000470976098;72.7700211895156;73.9357452636385;72.7551135086536;71.9241507034856;71.4351700902076;71.5426953083253;71.2130389109119;71.0059481757184;71.1663846111822;70.6446029131387;1228.7875400814166
POL;Poland;All persons;Total;56.5872471157303;56.3387588353544;55.413514470592;54.7472136973025;54.7030681193832;54.9017537798082;54.001861924286;53.7055265144637;54.2203890643776;54.9237933281417;55.3171831641108;55.5464166255415;55.8679682969264;55.9363208609912;56.2485478021875;56.1557708207454;56.2118052659328;940.8271396858753
PRT;Portugal;All persons;Total;60.9515842141793;61.4948083369838;61.9388646424385;61.8909307594928;61.5639685021316;61.8660865604439;62.0739083818492;62.2218217764658;62.0319006148297;61.3548666271847;61.2295889236558;60.5132323150641;60.1584847541292;59.3000295105455;58.8220722382261;58.5939696810744;58.452993535997;1034.4591113746915
SVK;Slovak Republic;All persons;Total;60.0654550518766;60.5739798853881;60.0845646528943;60.2548501894157;60.0793201133144;59.4231893179877;59.053594073283;58.7526990750844;59.3431077025528;58.8763110434067;59.9009359461588;58.7591995281764;59.1987201067407;59.281427464874;59.3492315105456;59.639660538754;60.0345345892223;1012.6707807896755
