COUNTRY_ISO3;Country;Sex;Age;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;Total
AUS;Australia;Women;Total;54.5087944089653;55.0499287283881;55.2418217641493;55.9143077851733;55.6874853772825;56.9700842060451;57.5199928983508;58.0704253723056;58.5485382299716;58.7462621151126;58.613617191253;58.8607501251801;58.7438089493343;58.6353596559667;58.5980397230365;59.0311449765983;59.228969989028;977.969331496141
AUT;Austria;Women;Total;48.960884366192;49.5300551671202;50.5369052114148;51.1062509595247;50.3868811982707;51.303658319924;51.9879460451747;52.849469468766;53.3850474490529;54.0469440294396;54.1557151633937;54.5121026313933;55.0048956841178;55.2934116336714;55.3083124463655;55.3605535296522;55.9092339024614;899.638267205935
BEL;Belgium;Women;Total;43.409707688577;42.3475216010333;43.1980142251935;43.6469870839774;44.4920138019501;45.6924104840904;45.821568480688;46.5288887374574;46.9103746732208;46.9502668150969;47.7112839410172;47.0319304432565;47.1001983533744;47.7686791368103;48.0781162022381;48.0088310601724;47.7638500946502;782.460642822804
CAN;Canada;Women;Total;59.3939542363611;59.7530999243781;60.9039477916314;61.8905562425216;61.9854176172812;61.6564748634693;61.8823968439988;62.5132942310727;62.5527259570405;62.4266630387599;62.4132914649082;62.1564847850012;62.1290080119168;62.1690764778204;61.5529492208986;61.2192964385416;61.2760970045844;1047.8747341501858
CZE;Czech Republic;Women;Total;51.6348077874737;51.2810760200682;50.9804919156162;50.7949996645571;50.5381135943314;50.641367066134;50.5500331345262;49.7748713315392;49.3275884580232;49.5294555560103;49.3218900201058;49.5193248217666;50.0419548410578;50.9148280173255;50.8618521823839;51.2528943243884;51.8654049798087;858.8309537151163
DNK;Denmark;Women;Total;60.0934367448116;60.528651104019;60.1083665389813;59.8178134171402;60.6515520566844;60.3915587434486;60.9314243222169;60.6627468209994;60.949515990982;60.6285416167856;59.8036270396172;59.6186180328682;59.0510381545419;58.5864049720937;58.0533242783099;57.807940441012;59.433392545028;1017.1179528195399
FIN;Finland;Women;Total;63.3299284984678;63.6409994900561;64.0020366598778;63.4146341463415;63.3367139959432;64.17004048583;64.6138313982837;65.1256281407035;65.2173913043478;64.6941819990055;63.7308263236022;63.5555555555556;63.7795275590551;63.4002939735424;63.3871757219775;63.7341153470186;63.1434998380311;1086.2763804376395
FRA;France;Women;Total;48.1667352025348;48.2553560763713;48.450806652859;50.1699977630885;50.3273577551779;50.4554283981204;50.5282943469001;50.8922814458552;51.0959061193545;51.4465084223833;51.4593288895498;51.3277209297267;51.5508701422294;51.7320907912348;51.7986500140923;51.7153077756088;51.7195954323596;861.0922361574466
DEU;Germany;Women;Total;49.0502226481033;49.3308215711635;49.3922930435757;49.4895818766606;49.8455372797863;51.0955594434725;51.986690697352;52.4102564102564;52.5279109067236;52.9300619633777;53.1609275394594;54.0060104332048;54.0226957579874;54.5806160187459;54.7621057370361;54.709659013551;55.5699013737735;888.8708517142297
GRC;Greece;Women;Total;40.2989313806766;39.4601794318378;40.1068610870369;40.8231797458948;42.0143226238632;42.1369314939854;42.438656259298;42.3509714665453;42.4241903361467;43.4977934675221;44.0805604412141;43.7760780992215;43.9832718558897;43.7518439541877;44.1009445020202;44.7411168193878;44.9940289229452;724.979861887673
