COUNTRY_ISO3;Country;Sex;Age;15 to 19;15 to 24;15 to 64;20 to 24;25 to 29;25 to 34;25 to 39;25 to 54;25 to 64;30 to 34;35 to 39;35 to 44;40 to 44;40 to 49;45 to 49;45 to 54;50 to 54;55 to 59;55 to 64;60 to 64;65 to 69;65+;70 to 74;70+;75+;Total;75 to 79+;80+;Total
AUS;Australia;Men;15 to 19;50.976237069856;67.3012547898746;82.3220653728464;81.8369410771938;89.906464315369;91.2717698697519;0;90.1612525320911;86.1779757448131;92.6400504597102;92.2188444759482;91.3170345613037;90.4140155052123;0;88.9029314007448;87.7058504618578;86.4562578843749;79.4457321842434;71.9090564976548;63.4340626047815;31.9239237859321;16.588313660822;0;8.75036200865874;0;1682.7759863371277;0;0;1682.7759863371277
AUT;Austria;Men;15 to 19;42.1929101029378;60.2483852897498;80.70328990465;75.4046499397765;89.7171390455872;91.7378138694443;0;91.7872541395238;84.9648952802217;93.7464344682625;93.5357413704266;93.4621558374654;93.3913750991659;0;92.6782559264581;90.4555787941868;88.2870842347337;79.1765432002522;61.175920275579;38.2788946759184;10.5357650848523;7.01993246112864;7.80279064177708;0;4.02997799885768;1603.8890955373888;0;0;1603.8890955373888
BEL;Belgium;Men;15 to 19;8.21285674791059;30.6920712384828;72.3468954284213;51.7558152103651;87.5250351323487;90.002757018945;0;90.3694911730595;81.5736121456216;92.4976282397809;91.889372841148;92.2659185825993;92.6393133907843;0;90.2218326451595;88.9547183411794;87.7308824073389;72.9020235653388;53.6161329573945;30.8142433996955;6.71694587462904;3.60089416813529;3.17047321662887;0;0;1438.3851515376016;1.46672856610195;0;1438.3851515376016
CAN;Canada;Men;15 to 19;47.3356647448862;63.452814213119;81.7887288815623;77.0365525919784;88.5735386282805;90.5808646604575;0;90.8898662999825;86.0404418892239;92.5804814435776;92.4417097068154;92.6511514530196;92.8620521542974;0;91.4713289314038;89.5511664484352;87.9072833326569;79.7810807865871;71.4108162044972;61.688598983895;31.9074776673405;17.9190746338372;16.9300545529599;0;5.34320594570595;1690.675664871039;0;0;1690.675664871039
CZE;Czech Republic;Men;15 to 19;6.30098577654082;37.4748988462113;82.1543773380847;62.5555441760551;91.51875454925;94.3620749288086;0;95.3808352347737;89.9929866196863;97.0062235098618;97.278926577834;97.0597614203132;96.8478090587451;0;95.1048530522016;94.2830195892586;93.434748901033;89.0083417838694;70.9324283727882;54.1694546961858;15.8055909045655;8.75800634822564;7.36771262848056;0;2.44289550230593;1616.0169998137292;0;0;1616.0169998137292
DNK;Denmark;Men;15 to 19;58.156774532263;65.0089126896074;82.6340504397838;71.132659903575;85.5494985056921;88.7174033864933;0;90.7881567311494;87.0588168150448;92.2918146582343;93.140670169512;92.9374713326822;92.7585098729557;0;91.0356963501665;90.6177416868157;90.2126521799613;86.26383763269;74.9148026160931;62.2817479686257;27.6329795814582;12.5754938656012;12.0426986737572;0;0;1683.2980814344405;0;0;1683.2980814344405
FIN;Finland;Men;15 to 19;32.3692843640976;53.8263826570585;77.9428196348219;71.8890890544332;86.1986604418538;88.1083942786044;0;89.7143617804198;83.4608743451416;89.9289540302394;91.1327042055458;91.1905748425927;91.2549430627213;0;90.6438464470316;89.9170325147771;89.2463436282989;80.4860412464178;65.1308741014468;50.0844659976613;17.218985017334;13.6929059152721;8.6570478861885;0;0;1588.8873652200932;0;0;1588.8873652200932
FRA;France;Men;15 to 19;16.4927046869499;40.034999631683;75.6025963295745;66.216217502286;91.260866911515;92.369486856395;0;92.669982348453;83.8032070566327;93.439269028801;94.360286747787;94.5314223789106;94.6914908330698;0;92.5425198850916;91.1576375406127;89.7638912135417;80.1942339453864;56.048534108204;30.1570167061712;8.14550312493594;3.8891609440725;3.26300511115446;0;0.671829815928622;1512.7699950510248;0;0;1512.7699950510248
DEU;Germany;Men;15 to 19;31.1862329042183;51.0036183594568;82.2097966947372;69.7794484950473;85.7865464671136;89.2205404184013;0;92.0018409045328;88.2669420399927;92.8301965409183;94.1043168032624;93.9417048587002;93.7787621963376;0;93.7660853852067;92.7819769477268;91.8861450746799;87.3694897736587;76.8789399525691;64.5688324847357;19.404126648827;9.27166082301662;9.24730996029672;0;0;1648.24746807068;4.49632928715835;1.50666026232222;1648.24746807068
GRC;Greece;Men;15 to 19;6.1954196619523;26.4356055552768;76.1513282872855;46.3268065058887;88.4388835398558;91.8281173428674;0;93.1760854039039;85.191710481089;94.9332519677515;96.6794060703413;96.591898320913;96.509320862799;0;92.5973533877321;90.7496274393985;88.8214724768182;73.9475628332627;57.2694280342181;39.8053676749212;12.8827326240367;4.33084440940253;2.4005039459419;0;0;1481.102945848489;0.248756125680372;0;1481.102945848489
HUN;Hungary;Men;15 to 19;8.41128968305408;36.1391734356826;76.9479570924523;59.3951184868749;89.8599714432482;92.4303644536179;0;92.363934549421;85.3777427592024;95.0206022368602;95.1476906113335;94.9267256794226;94.7135995900181;0;90.6265314998897;89.096073076362;87.2147684984806;78.9924871520774;62.3633143391599;47.2841666209356;6.90597738297013;5.90374936712454;4.51946050510141;0;0;1530.758194018138;0;0;1530.758194018138
ISL;Iceland;Men;15 to 19;76.0273931917454;82.0388343292286;91.8307731125255;86.4864884729451;94.1276593411222;95.3008327247744;0;94.8574023139203;94.189172984522;96.55172080874;95.0398616754106;95.7866433853582;96.551721890494;0;96.5820355973848;93.3781182867552;90.2830134427138;92.9118770183938;91.9428864545175;90.8396955061972;67.6165796720639;51.801801299392;29.9999999068677;0;0;1978.8787091440238;0;0;1978.8787091440238
