COUNTRY_ISO3;Country;Time;Sex;Age;15 to 19;15 to 24;15 to 64;20 to 24;25 to 29;25 to 34;25 to 39;25 to 54;25 to 64;30 to 34;35 to 39;35 to 44;40 to 44;40 to 49;45 to 49;45 to 54;50 to 54;55 to 59;55 to 64;60 to 64;65 to 69;65+;70 to 74;70+;75+;Total;75 to 79+;80+;Total
AUS;Australia;2000;All persons;15 to 19;58.7371464732323;70.1812518753732;73.7935978976473;82.0142667240603;82.0451759162643;80.7000340393496;0;80.27832710737;74.7174994948074;79.3452361361786;79.6078710934743;81.2244700019516;82.8976863991949;0;81.6667945171453;78.7434115479156;75.628361622719;59.9063621616049;48.2433924677428;34.1332161040051;13.2095555026507;6.04859253257708;0;3.1993233320889;0;1452.5976980293024;0;0;1452.5976980293024
AUT;Austria;2000;All persons;15 to 19;40.0411414305669;55.6692792808337;70.7948372866783;71.8050666538079;83.2124299854771;85.6824553625342;0;85.1829502923388;73.9662425123299;87.6883669284955;88.5007435329921;87.9522353454436;87.3213596143042;0;85.0955323922191;80.9545671446869;76.6206878118684;44.3259070967795;29.8207121294131;12.3643195443793;4.98432211678097;2.70526322016752;2.98447971672316;0;1.0595760163925;1375.6581111232;0;0;1375.6581111232
BEL;Belgium;2000;All persons;15 to 19;11.0088951226092;35.3055767009507;65.1241380227228;59.0781914942413;88.8404802931847;88.6422234773739;0;82.4054343048275;71.8985621561741;88.4602959106005;86.404765940781;85.6311855674262;84.8224196262569;0;79.0933429242889;72.1507615388767;64.7947450894648;42.1785761755428;27.1137893818665;12.3650323839131;2.86013181699223;1.47633084571389;1.40177393820861;0;0.542186408058763;1255.9618876355714;0;0;1255.9618876355714
CAN;Canada;2000;All persons;15 to 19;51.8026380068393;64.3919467046879;76.1509110313001;77.1438468009303;85.3125772176921;85.6878908470722;0;84.7500968050675;79.0582757950015;86.0333924753196;85.9792689579924;86.2450730350104;86.5064765846555;0;85.121399085623;82.0237290506049;78.5980757903004;62.7169515855409;50.887723738926;36.1829832103171;11.4010007147963;5.99064137409286;5.50015420993112;0;2.21394719025051;1501.212184324598;0;0;1501.212184324598
CZE;Czech Republic;2000;All persons;15 to 19;14.9537247805402;46.0973295747995;71.5556259810402;70.7721798346648;80.2623791026551;83.3565109847548;0;88.4208142507566;78.6516124383085;87.1628592752983;92.0634220568134;92.9384822671938;93.7949301168908;0;92.8555236728695;89.387828540541;85.9295047377903;53.3443854539656;38.2344745937903;17.7358004890551;0;4.09683391500026;0;0;0;1402.4119984037916;0;0;1402.4119984037916
DNK;Denmark;2000;All persons;15 to 19;61.2809419215349;70.7075537973537;79.960920845784;79.0309744717664;84.7202699980103;87.1884136757078;0;87.8727078873259;81.8869707546124;89.5643241230699;90.2955115274545;89.8542245125438;89.3800938128527;0;88.9519531441254;86.5934528780576;84.4274024696842;76.8296305943032;58.2408327967275;34.3995852932092;8.2899157299749;2.51527088335888;0;0;0;1563.0677590491725;0;0;1563.0677590491725
FIN;Finland;2000;All persons;15 to 19;37.0481927710843;53.7878787878788;74.8629148629149;70.7317073170732;82.9508196721311;85.1063829787234;0;87.8989361702128;79.8217468805704;86.9688385269122;89.7368421052632;90.3267973856209;90.9090909090909;0;90.2743142144638;87.875150060024;85.6481481481482;66.3194444444444;46.6302367941712;24.904214559387;4.86725663716814;3.6697247706422;2.38095238095238;0;0;1476.5314334940265;0;0;1476.5314334940265
FRA;France;2000;All persons;15 to 19;8.74165937196436;29.3128812854154;67.9796172224255;51.2232142699619;85.4522986195487;86.0642063536324;0;86.1685314685708;77.4250239046647;86.6507052150663;87.6596174625526;87.792889885849;87.929045572703;0;86.985326821251;84.6065989342489;82.2412650022788;58.8100172248859;37.2580163159634;14.4554958301861;3.03466203996908;1.32375317295145;1.03804403092731;0;0.408848752299114;1322.0920727590897;0;0;1322.0920727590897
DEU;Germany;2000;All persons;15 to 19;33.1819165044344;51.4775547033612;71.1356495523147;71.4117369785529;81.2233589087809;83.7818313165974;0;85.2846740439195;74.908539885269;85.6628016295832;87.1589085072231;87.5431199693369;87.96834625323;0;86.696848337106;84.093654185636;81.1155378486056;65.9425625920471;42.9152302660656;21.6459785750723;5.11390051139005;2.66422018348624;2.40995762711864;0;0.937443663241392;1409.3801983883527;0;0;1409.3801983883527
GRC;Greece;2000;All persons;15 to 19;15.3844934919247;38.9901381126113;63.8373974823498;63.1217567726862;82.5669317505482;82.7476820467276;0;78.1203893760123;70.2458883081004;82.9206972868366;81.5052565862874;80.5890059601298;79.6940325078526;0;74.3475785953306;69.8052846767411;65.1379246451936;50.5534633073415;40.5242433004051;32.150845485579;11.2278529443193;5.29978093361566;3.74403571448948;0;1.02881344159658;1277.8877881596236;0;0;1277.8877881596236
HUN;Hungary;2000;All persons;15 to 19;10.9659780566375;37.1904788798117;59.8652178164024;58.7867405207326;75.3299904447272;77.0094893840904;0;77.3298969229583;66.0065386243108;78.8928351437373;81.6323195577066;81.8127894072499;81.9645268855284;0;77.7030383104331;73.5709468069378;68.7225940601072;34.675431427842;22.5815147028812;8.00316980371918;3.46583109478974;2.63101827661174;1.63513201088952;0;0;1185.692309460821;0;0;1185.692309460821
