id,voti,voti_nona,idComune,value,desc,PRO_COM,PRO_COM_T,COMUNE,COMUNE_U,idpartizione,nlista,nlistamacro,idpartizione_r,nraggrup,nome,nome_breve,nome2,nome_breve2,immagine,tipo_lista,blocco_ins,idComune
9,31,0,101,101,APIRO,43002,043002,Apiro,APIRO,0,13,9,0,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,FORZA ITALIA - BERLUSCONI,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,FORZA ITALIA - BERLUSCONI,9.png,N,N,100
7,25,0,101,101,APIRO,43002,043002,Apiro,APIRO,0,12,7,0,7,POPOLARI MARCHE - UNIONE DI CENTRO,POPOLARI MARCHE - U.D.C.,POPOLARI MARCHE - UNIONE DI CENTRO,POPOLARI MARCHE - U.D.C,7.png,N,N,100
5,119,0,101,101,APIRO,43002,043002,Apiro,APIRO,0,17,5,0,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,FRATELLI D'ITALIA,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,FRATELLI D'ITALIA,5.png,N,N,100
10,7,0,101,101,APIRO,43002,043002,Apiro,APIRO,0,16,10,0,7,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,10.png,N,N,100
12,44,0,101,101,APIRO,43002,043002,Apiro,APIRO,0,9,12,0,4,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,12.png,N,N,100
2,5,0,101,101,APIRO,43002,043002,Apiro,APIRO,0,1,2,0,1,VOX ITALIA MARCHE,VOX ITALIA MARCHE,VOX ITALIA MARCHE,VOX ITALIA MARCHE,2.png,N,N,100
11,9,0,101,101,APIRO,43002,043002,Apiro,APIRO,0,10,11,0,5,DIPENDE DA NOI,DIPENDE DA NOI,DIPENDE DA NOI,DIPENDE DA NOI,11.png,N,N,100
4,14,0,101,101,APIRO,43002,043002,Apiro,APIRO,0,11,4,0,6,COMUNISTA!,COMUNISTA!,COMUNISTA!,COMUNISTA!,4.png,N,N,100
3,3,0,101,101,APIRO,43002,043002,Apiro,APIRO,0,2,3,0,2,MOVIMENTO 3V LIBERTA' DI SCELTA,MOVIMENTO 3V,MOVIMENTO 3V LIBERTA' DI SCELTA,MOVIMENTO 3V,3.png,N,N,100
1,1,0,102,102,APPIGNANO,43003,043003,Appignano,APPIGNANO,,,,,,,,,,,,,
18,19,0,102,102,APPIGNANO,43003,043003,Appignano,APPIGNANO,0,7,18,0,3,RINASCI MARCHE,RINASCI MARCHE,RINASCI MARCHE,RINASCI MARCHE,18.png,N,N,100
14,49,0,102,102,APPIGNANO,43003,043003,Appignano,APPIGNANO,0,4,14,0,3,ITALIA VIVA,ITALIA VIVA,ITALIA VIVA,ITALIA VIVA,14.png,N,N,100
15,19,0,102,102,APPIGNANO,43003,043003,Appignano,APPIGNANO,0,5,15,0,3,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,15.png,N,N,100
16,351,0,102,102,APPIGNANO,43003,043003,Appignano,APPIGNANO,0,3,16,0,3,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,16.png,N,N,100
17,13,0,102,102,APPIGNANO,43003,043003,Appignano,APPIGNANO,0,6,17,0,3,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,17.png,N,N,100
13,17,0,102,102,APPIGNANO,43003,043003,Appignano,APPIGNANO,0,8,13,0,3,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,13.png,N,N,100
8,19,0,102,102,APPIGNANO,43003,043003,Appignano,APPIGNANO,0,15,8,0,7,CIVITAS CIVICI,CIVITAS CIVICI,CIVITAS CIVICI,CIVITAS CIVICI,8.png,N,N,100
6,519,0,102,102,APPIGNANO,43003,043003,Appignano,APPIGNANO,0,14,6,0,7,LEGA SALVINI MARCHE,LEGA SALVINI MARCHE,LEGA SALVINI MARCHE,LEGA SALVINI MARCHE,6.png,N,N,100
9,48,0,102,102,APPIGNANO,43003,043003,Appignano,APPIGNANO,0,13,9,0,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,FORZA ITALIA - BERLUSCONI,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,FORZA ITALIA - BERLUSCONI,9.png,N,N,100
7,21,0,102,102,APPIGNANO,43003,043003,Appignano,APPIGNANO,0,12,7,0,7,POPOLARI MARCHE - UNIONE DI CENTRO,POPOLARI MARCHE - U.D.C.,POPOLARI MARCHE - UNIONE DI CENTRO,POPOLARI MARCHE - U.D.C,7.png,N,N,100
5,242,0,102,102,APPIGNANO,43003,043003,Appignano,APPIGNANO,0,17,5,0,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,FRATELLI D'ITALIA,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,FRATELLI D'ITALIA,5.png,N,N,100
10,49,0,102,102,APPIGNANO,43003,043003,Appignano,APPIGNANO,0,16,10,0,7,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,10.png,N,N,100
12,129,0,102,102,APPIGNANO,43003,043003,Appignano,APPIGNANO,0,9,12,0,4,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,12.png,N,N,100
2,7,0,102,102,APPIGNANO,43003,043003,Appignano,APPIGNANO,0,1,2,0,1,VOX ITALIA MARCHE,VOX ITALIA MARCHE,VOX ITALIA MARCHE,VOX ITALIA MARCHE,2.png,N,N,100
11,48,0,102,102,APPIGNANO,43003,043003,Appignano,APPIGNANO,0,10,11,0,5,DIPENDE DA NOI,DIPENDE DA NOI,DIPENDE DA NOI,DIPENDE DA NOI,11.png,N,N,100
4,30,0,102,102,APPIGNANO,43003,043003,Appignano,APPIGNANO,0,11,4,0,6,COMUNISTA!,COMUNISTA!,COMUNISTA!,COMUNISTA!,4.png,N,N,100
3,4,0,102,102,APPIGNANO,43003,043003,Appignano,APPIGNANO,0,2,3,0,2,MOVIMENTO 3V LIBERTA' DI SCELTA,MOVIMENTO 3V,MOVIMENTO 3V LIBERTA' DI SCELTA,MOVIMENTO 3V,3.png,N,N,100
1,2,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,,,,,,,,,,,,,
18,25,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,0,7,18,0,3,RINASCI MARCHE,RINASCI MARCHE,RINASCI MARCHE,RINASCI MARCHE,18.png,N,N,100
14,21,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,0,4,14,0,3,ITALIA VIVA,ITALIA VIVA,ITALIA VIVA,ITALIA VIVA,14.png,N,N,100
15,8,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,0,5,15,0,3,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,15.png,N,N,100
16,168,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,0,3,16,0,3,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,16.png,N,N,100
17,3,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,0,6,17,0,3,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,17.png,N,N,100
13,4,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,0,8,13,0,3,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,13.png,N,N,100
8,87,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,0,15,8,0,7,CIVITAS CIVICI,CIVITAS CIVICI,CIVITAS CIVICI,CIVITAS CIVICI,8.png,N,N,100
6,155,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,0,14,6,0,7,LEGA SALVINI MARCHE,LEGA SALVINI MARCHE,LEGA SALVINI MARCHE,LEGA SALVINI MARCHE,6.png,N,N,100
9,40,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,0,13,9,0,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,FORZA ITALIA - BERLUSCONI,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,FORZA ITALIA - BERLUSCONI,9.png,N,N,100
7,14,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,0,12,7,0,7,POPOLARI MARCHE - UNIONE DI CENTRO,POPOLARI MARCHE - U.D.C.,POPOLARI MARCHE - UNIONE DI CENTRO,POPOLARI MARCHE - U.D.C,7.png,N,N,100
5,171,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,0,17,5,0,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,FRATELLI D'ITALIA,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,FRATELLI D'ITALIA,5.png,N,N,100
10,3,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,0,16,10,0,7,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,10.png,N,N,100
12,63,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,0,9,12,0,4,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,12.png,N,N,100
2,4,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,0,1,2,0,1,VOX ITALIA MARCHE,VOX ITALIA MARCHE,VOX ITALIA MARCHE,VOX ITALIA MARCHE,2.png,N,N,100
11,51,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,0,10,11,0,5,DIPENDE DA NOI,DIPENDE DA NOI,DIPENDE DA NOI,DIPENDE DA NOI,11.png,N,N,100
4,6,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,0,11,4,0,6,COMUNISTA!,COMUNISTA!,COMUNISTA!,COMUNISTA!,4.png,N,N,100
3,1,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,0,2,3,0,2,MOVIMENTO 3V LIBERTA' DI SCELTA,MOVIMENTO 3V,MOVIMENTO 3V LIBERTA' DI SCELTA,MOVIMENTO 3V,3.png,N,N,100
1,0,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,,,,,,,,,,,,,
18,1,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,0,7,18,0,3,RINASCI MARCHE,RINASCI MARCHE,RINASCI MARCHE,RINASCI MARCHE,18.png,N,N,100
14,1,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,0,4,14,0,3,ITALIA VIVA,ITALIA VIVA,ITALIA VIVA,ITALIA VIVA,14.png,N,N,100
15,0,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,0,5,15,0,3,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,15.png,N,N,100
16,18,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,0,3,16,0,3,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,16.png,N,N,100
17,0,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,0,6,17,0,3,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,17.png,N,N,100
13,0,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,0,8,13,0,3,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,13.png,N,N,100
8,2,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,0,15,8,0,7,CIVITAS CIVICI,CIVITAS CIVICI,CIVITAS CIVICI,CIVITAS CIVICI,8.png,N,N,100
6,15,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,0,14,6,0,7,LEGA SALVINI MARCHE,LEGA SALVINI MARCHE,LEGA SALVINI MARCHE,LEGA SALVINI MARCHE,6.png,N,N,100
9,14,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,0,13,9,0,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,FORZA ITALIA - BERLUSCONI,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,FORZA ITALIA - BERLUSCONI,9.png,N,N,100
7,1,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,0,12,7,0,7,POPOLARI MARCHE - UNIONE DI CENTRO,POPOLARI MARCHE - U.D.C.,POPOLARI MARCHE - UNIONE DI CENTRO,POPOLARI MARCHE - U.D.C,7.png,N,N,100
5,7,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,0,17,5,0,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,FRATELLI D'ITALIA,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,FRATELLI D'ITALIA,5.png,N,N,100
10,4,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,0,16,10,0,7,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,10.png,N,N,100
12,4,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,0,9,12,0,4,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,12.png,N,N,100
2,0,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,0,1,2,0,1,VOX ITALIA MARCHE,VOX ITALIA MARCHE,VOX ITALIA MARCHE,VOX ITALIA MARCHE,2.png,N,N,100
11,1,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,0,10,11,0,5,DIPENDE DA NOI,DIPENDE DA NOI,DIPENDE DA NOI,DIPENDE DA NOI,11.png,N,N,100
4,0,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,0,11,4,0,6,COMUNISTA!,COMUNISTA!,COMUNISTA!,COMUNISTA!,4.png,N,N,100
3,0,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,0,2,3,0,2,MOVIMENTO 3V LIBERTA' DI SCELTA,MOVIMENTO 3V,MOVIMENTO 3V LIBERTA' DI SCELTA,MOVIMENTO 3V,3.png,N,N,100
1,0,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,,,,,,,,,,,,,
18,23,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,0,7,18,0,3,RINASCI MARCHE,RINASCI MARCHE,RINASCI MARCHE,RINASCI MARCHE,18.png,N,N,100
14,26,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,0,4,14,0,3,ITALIA VIVA,ITALIA VIVA,ITALIA VIVA,ITALIA VIVA,14.png,N,N,100
15,2,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,0,5,15,0,3,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,MARCHE CORAGGIOSE,15.png,N,N,100
16,210,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,0,3,16,0,3,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,PARTITO DEMOCRATICO,16.png,N,N,100
17,11,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,0,6,17,0,3,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,LE NOSTRE MARCHE e IL CENTRO,17.png,N,N,100
13,7,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,0,8,13,0,3,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,MANGIALARDI PRESIDENTE,13.png,N,N,100
8,54,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,0,15,8,0,7,CIVITAS CIVICI,CIVITAS CIVICI,CIVITAS CIVICI,CIVITAS CIVICI,8.png,N,N,100
6,158,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,0,14,6,0,7,LEGA SALVINI MARCHE,LEGA SALVINI MARCHE,LEGA SALVINI MARCHE,LEGA SALVINI MARCHE,6.png,N,N,100
9,53,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,0,13,9,0,7,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,FORZA ITALIA - BERLUSCONI,FORZA ITALIA - BERLUSCONI - CIVICI PER LE MARCHE,FORZA ITALIA - BERLUSCONI,9.png,N,N,100
7,12,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,0,12,7,0,7,POPOLARI MARCHE - UNIONE DI CENTRO,POPOLARI MARCHE - U.D.C.,POPOLARI MARCHE - UNIONE DI CENTRO,POPOLARI MARCHE - U.D.C,7.png,N,N,100
5,91,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,0,17,5,0,7,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,FRATELLI D'ITALIA,GIORGIA MELONI per ACQUAROLI - FRATELLI D'ITALIA,FRATELLI D'ITALIA,5.png,N,N,100
10,20,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,0,16,10,0,7,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,MOVIMENTO PER LE MARCHE,10.png,N,N,100
12,50,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,0,9,12,0,4,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,MOVIMENTO 5 STELLE,12.png,N,N,100
2,2,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,0,1,2,0,1,VOX ITALIA MARCHE,VOX ITALIA MARCHE,VOX ITALIA MARCHE,VOX ITALIA MARCHE,2.png,N,N,100
11,31,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,0,10,11,0,5,DIPENDE DA NOI,DIPENDE DA NOI,DIPENDE DA NOI,DIPENDE DA NOI,11.png,N,N,100
4,7,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,0,11,4,0,6,COMUNISTA!,COMUNISTA!,COMUNISTA!,COMUNISTA!,4.png,N,N,100
3,2,0,105,105,CALDAROLA,43006,043006,Caldarola,CALDAROLA,0,2,3,0,2,MOVIMENTO 3V LIBERTA' DI SCELTA,MOVIMENTO 3V,MOVIMENTO 3V LIBERTA' DI SCELTA,MOVIMENTO 3V,3.png,N,N,100
1,2,0,106,106,CAMERINO,43007,043007,Camerino,CAMERINO,,,,,,,,,,,,,
