id,voti,voti_nona,voti_solosindpres,idComune,value,desc,PRO_COM,PRO_COM_T,COMUNE,COMUNE_U,n,idpartizione,nraggrup,nraggrupmacro,nome,nome_breve,nome2,nome_breve2,nome_cand,cognome_cand,data_nascita_cand,luogo_nascita_cand,immagine,blocco_ins
8,276,0,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,1,0,3,8,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio,Mangialardi,17/11/1964,Ancona,8.png,N
5,538,0,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,2,0,7,5,Francesco Acquaroli,Francesco Acquaroli,Francesco Acquaroli,Francesco Acquaroli,Francesco,Acquaroli,25/09/1974,Macerata,5.png,N
7,82,0,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,3,0,4,7,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario,Mercorelli,06/02/1973,Macerata,7.png,N
2,5,0,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,7,0,1,2,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola Banzato,Sabrina Paola,Banzato,21/02/1964,Castellanza,2.png,N
6,56,0,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,4,0,5,6,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto Mancini,Roberto,Mancini,,,6.png,N
4,7,0,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,5,0,6,4,Fabio Pasquinelli,Fabio Pasquinelli,Fabio Pasquinelli,Fabio Pasquinelli,Fabio,Pasquinelli,10/01/1981,Osimo,4.png,N
3,3,0,0,103,103,BELFORTE DEL CHIENTI,43004,043004,Belforte del Chienti,BELFORTE DEL CHIENTI,6,0,2,3,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita Iannetti,Anna Rita,Iannetti,26/08/1953,Brittoli,3.png,N
8,21,0,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,1,0,3,8,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio Mangialardi,Maurizio,Mangialardi,17/11/1964,Ancona,8.png,N
5,49,0,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,2,0,7,5,Francesco Acquaroli,Francesco Acquaroli,Francesco Acquaroli,Francesco Acquaroli,Francesco,Acquaroli,25/09/1974,Macerata,5.png,N
7,4,0,0,104,104,BOLOGNOLA,43005,043005,Bolognola,BOLOGNOLA,3,0,4,7,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario Mercorelli,Gian-Mario,Mercorelli,06/02/1973,Macerata,7.png,N
