ags,ac,al,dv
08136050,5,75 und älter,0.9
08136021,4,60 bis 74,1.7
08136033,1,unter 18,1.4
08136088,2,19 bis 39,1.2
08136010,1,unter 18,1.5
08136037,3,40 bis 59,2.3
08136087,4,60 bis 74,2.1
08136003,3,40 bis 59,2.9
08136018,2,19 bis 39,1.2
08136019,1,unter 18,1.4
08136035,1,unter 18,2.7
08136046,1,unter 18,3.6
08136060,4,60 bis 74,1.9
08136084,2,19 bis 39,3.2
08136089,1,unter 18,2.3
08136038,3,40 bis 59,1.9
08136082,3,40 bis 59,2.6
08136020,1,unter 18,3.7
08136024,3,40 bis 59,2.4
08136034,1,unter 18,2.0
08136040,4,60 bis 74,3.6
