ags,ac,al,dv
09182137,1,unter 18,4.0
09183112,3,40 bis 59,1.6
09183113,1,unter 18,2.7
09183114,3,40 bis 59,0.8
09183119,3,40 bis 59,3.3
09183127,3,40 bis 59,3.2
09183128,2,19 bis 39,1.8
09183135,3,40 bis 59,3.5
09183144,4,60 bis 74,0.9
09183148,2,19 bis 39,0.7
09183120,1,unter 18,3.4
09183138,3,40 bis 59,1.9
09183118,1,unter 18,2.4
09183147,3,40 bis 59,1.7
09183123,1,unter 18,2.8
09183140,1,unter 18,3.4
09183122,4,60 bis 74,5.1
09183124,3,40 bis 59,1.1
09183145,1,unter 18,1.8
09183115,1,unter 18,2.2
09183129,4,60 bis 74,1.0
09183125,1,unter 18,7.5
09183132,1,unter 18,3.5
09183143,1,unter 18,4.1
09183151,1,unter 18,3.5
09183134,1,unter 18,3.5
09183136,3,40 bis 59,2.4
09183116,5,75 und älter,3.1
09183130,1,unter 18,2.3
09183131,3,40 bis 59,2.0
09183126,3,40 bis 59,3.9
09183139,1,unter 18,3.0
09184112,3,40 bis 59,5.2
09184113,1,unter 18,7.2
09184114,3,40 bis 59,6.6
09184118,3,40 bis 59,5.3
09184119,2,19 bis 39,7.4
09184120,5,75 und älter,3.5
09184121,3,40 bis 59,5.4
09184122,5,75 und älter,4.6
09184123,3,40 bis 59,1.5
09184127,3,40 bis 59,3.9
09184129,3,40 bis 59,4.2
09184130,3,40 bis 59,2.3
09184131,5,75 und älter,2.1
09184132,3,40 bis 59,4.0
09184134,3,40 bis 59,2.7
09184135,2,19 bis 39,1.7
09184136,5,75 und älter,1.9
09184137,1,unter 18,5.0
09184138,5,75 und älter,2.2
09184139,1,unter 18,4.4
09184140,1,unter 18,2.2
09184141,3,40 bis 59,4.0
09184142,5,75 und älter,3.8
09184144,1,unter 18,4.4
09184145,5,75 und älter,5.2
09184146,2,19 bis 39,6.6
09184147,3,40 bis 59,3.1
09184148,5,75 und älter,2.2
09184149,2,19 bis 39,1.6
09185113,1,unter 18,2.1
09185125,1,unter 18,1.0
09185127,1,unter 18,2.4
