PROVINCIA,Classifica finale,Alberi pubb.,Isole pedonali,Solare pubb.,Uso eff. suolo,Verde urbano,Biossido di azoto,Ozono,Pm 10,Consumi idrici,Dispersione idrica,Efficienza depurazione,Offerta TP,Passaggeri TP,Piste ciclabili,Tasso di motorizzazione,Vittime di strada,Rifiuti differenziati,Rifiuti prodotti
Piacenza,54.54,8,596,3115,7,27169,23,75,28,171207,18924,98169,23.81,74915,18818,63098,7106,70907,745288
Arezzo,54.07,38091,202,1468,3,29298,20.5,23,23,119322,21542,82336,16.09,19233,5487,69316,5386,49701,592884
Ravenna,53.81,37.08,581,2056,1.5,45557,23,25,27.5,153809,24053,95221,16304,35.52,27137,70976,6606,62149,714869
Enna,53.71,11,134,2536,0.5,12218,4,9,15,240582,35987,88949,14635,41521,262,70035,5263,59054,397168
Siena,53.62,29.87,0.88,2085,8,28259,27,0,18,410417,20774,94835,47096,77681,1724,66645,6403,45841,592578
Imperia,53.3,6541,58,6462,7.5,6023,8.75,48,16.5,101545,31146,95025,14497,5193,1911,61402,6218,67.87,447923
Catanzaro,53.09,9331,0,1781,3.5,57.49,20.2,5,20,276883,50,80729,22063,10987,7091,69789,2702,70716,413812
L'Aquila,53.09,21602,0,5.66,2.5,27276,14,6,10,125.76,30266,88262,43642,45054,429,77032,4818,9179,486045
Benevento,52.87,4181,389,3.24,2.5,22185,26.3,19.5,26.6,150758,37422,16995,18581,14358,19353,66347,3288,65716,420321
Pisa,52.69,20056,501,1634,5.5,22434,20.5,2,22,156186,31047,79608,26944,23699,17.03,62805,7986,63266,687841
Sassari,52.58,4733,0,2583,2.5,17.57,14,0,18.5,120646,62858,94997,26865,81472,465,66732,5463,56.93,472298
Vicenza,52.07,23293,221,3303,3.5,25.85,25.25,51.5,32.25,147291,24715,94.87,19757,50791,23291,64727,5032,74024,613304
Modena,51.9,114798,214,3.17,8,46317,27667,67,32,130068,36244,99304,22439,72.99,19388,66098,6804,63338,680.03
Ascoli Piceno,51.85,7176,567,3544,2.5,9588,10,24,22,141794,29796,96396,22463,11467,1984,71918,7678,63.8,482.92
Chieti,51.7,15757,732,2542,3,7812,33,36,21,156.06,48,64957,21482,17515,0,66511,3559,70902,485362
Lecco,51.31,7255,137,1579,8,15.44,27,76,14,158647,37.36,100,19649,15261,3068,60865,5.99,65826,454097
Livorno,51.17,13563,409,1335,6.5,12376,24.25,0,19.25,113856,37919,100,20108,24796,2509,56017,7742,65858,505698
Caserta,51.07,19852,68,1131,5,17896,18.8,18,24.35,161442,61188,93144,14084,48518,6304,62767,3311,51308,496902
Lecce,49.64,30385,256,0,2,9.61,19,1,22,149716,24961,87549,16268,6149,10949,71571,6715,61.6,501617
Asti,48.58,15237,126,4234,3,27568,23,62,29.75,152946,24247,95.93,12.08,20843,8.34,68637,5555,66894,468.19
Verona,48.57,25265,161,26534,6,31552,21.5,61,31.5,169243,34796,83.61,20496,103364,11996,64.78,6256,50,504.98
Potenza,48.31,1111,121,1815,4,158079,0,11,20.5,133255,62,100,17792,19615,0,76755,4213,62818,390167
Reggio Calabria,48.16,6338,14,753,5.5,108248,13015,0,18695,240,0,95737,22824,32516,456,65942,3511,37585,364116
Prato,47.72,15209,179,4408,8.5,32.25,24.5,0,23.5,131151,0,96652,15338,18263,4571,61877,5977,71925,586048
Ancona,47.05,0,183,202,7.5,52253,19,0,24,153.36,31,90714,32641,70816,938,62733,6256,52.2,505943
Avellino,46.85,12879,0.36,7727,5.5,12696,18.27,0,33.22,0,0,100,8298,26591,775,64166,4692,67656,398421
Trapani,46.32,5461,0,1073,2.5,6055,26,1,19,199072,67.9,86885,15018,21128,1219,64.41,5.18,63876,450526
Pescara,45.77,20.97,167,1545,7.5,38849,20333,14,23667,144705,58029,91122,26002,22668,5.67,61937,4822,47724,549454
Taranto,45.66,16872,165,1.13,3,14444,10,9,24,130.93,27.1,86857,38254,28683,3505,58232,4563,25.15,534103
Frosinone,45.62,16933,0,2273,2.5,16786,26,1,30,132745,62.53,90975,16379,14.21,13.55,80207,5.08,70243,484508
Nuoro,44.77,0,206,0,3,33439,0,0,0,145118,55776,100,27204,23192,395,76271,3562,76988,406497
Pistoia,43.9,16631,718,1455,8,21087,18,0,20,138333,29,55155,22226,6686,7385,64902,5.15,37381,606148
Torino,43.86,47024,624,386,7.5,23088,36.25,46.5,34333,189259,26667,99923,26.87,165729,6931,65365,5153,50773,478853
Campobasso,43.64,0,121,1358,5,12054,17667,3.5,0,121987,71.79,79783,19902,44.08,0,74.2,3532,33579,425.81
Viterbo,43.39,4658,0,7194,2,25014,15,0,17,123463,32924,81675,9789,7524,353,77271,7702,43583,519042
Vercelli,43.34,28378,0.27,654,3,50744,0,0,0,144771,20.94,99672,7266,6587,19693,67043,4251,72.5,593.27
Crotone,43.16,12512,0.15,0,6.5,3739,20.25,4,20455,147655,28575,86124,14.94,832,2.42,61582,3843,13035,495976
Roma,42.75,10965,0.18,0,8.5,17115,33.5,6556,26.45,0,0,86637,57162,327903,1314,63653,5765,45357,564585
Rovigo,42.58,0,22,258,2,32416,21.5,30,32.5,147248,36,91934,16523,7681,15454,70043,5216,62.85,589238
Bari,42.53,14797,562,4111,6,9201,24.75,3,22.5,136681,48977,94998,31976,41896,4778,58539,7.91,41362,579464
