latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
52.48218,4.59701,303.01,0.4,0.44,2024-09-06,0117,N,nominal,2.0NRT,291.13,1.16,N
52.47501,4.5832,303.87,0.4,0.44,2024-09-06,0117,N,nominal,2.0NRT,290.99,0.72,N
50.41607,18.14211,302.55,0.5,0.41,2024-09-06,0117,N,nominal,2.0NRT,289.87,1.43,N
50.41248,18.14025,298.06,0.5,0.41,2024-09-06,0117,N,nominal,2.0NRT,287.13,0.72,N
50.03677,18.48406,299.73,0.52,0.41,2024-09-06,0117,N,nominal,2.0NRT,288.03,1.04,N
51.27041,11.66301,306.5,0.39,0.36,2024-09-06,0117,N,nominal,2.0NRT,290.7,0.64,N
51.26714,11.66175,300.93,0.39,0.36,2024-09-06,0117,N,nominal,2.0NRT,289.87,0.44,N
51.61718,8.50881,308.87,0.44,0.38,2024-09-06,0117,N,nominal,2.0NRT,291.35,1.19,N
51.36172,10.48242,301.01,0.4,0.37,2024-09-06,0117,N,nominal,2.0NRT,289.87,0.43,N
51.59621,8.33216,302.69,0.44,0.38,2024-09-06,0117,N,nominal,2.0NRT,289.34,1.05,N
51.59193,8.33746,306.78,0.44,0.38,2024-09-06,0117,N,nominal,2.0NRT,288.52,1.05,N
49.70174,18.63796,298.24,0.53,0.42,2024-09-06,0117,N,nominal,2.0NRT,284.44,1.05,N
49.69118,18.64824,297.36,0.53,0.42,2024-09-06,0117,N,nominal,2.0NRT,286.67,1.04,N
49.67904,18.66559,327.94,0.53,0.42,2024-09-06,0117,N,nominal,2.0NRT,286.83,2.12,N
49.68063,18.65846,306.1,0.53,0.42,2024-09-06,0117,N,nominal,2.0NRT,288.23,5.08,N
49.67535,18.66358,308.97,0.53,0.42,2024-09-06,0117,N,nominal,2.0NRT,284.82,2.12,N
51.51847,6.9683,305.68,0.48,0.4,2024-09-06,0117,N,nominal,2.0NRT,290.47,1.05,N
51.47475,7.16198,301.44,0.47,0.4,2024-09-06,0117,N,nominal,2.0NRT,290.08,0.86,N
51.50177,6.73294,305.56,0.49,0.4,2024-09-06,0117,N,nominal,2.0NRT,291.31,1.4,N
51.49881,6.72482,303.37,0.49,0.4,2024-09-06,0117,N,nominal,2.0NRT,291.61,1.87,N
51.48545,6.70667,328.4,0.49,0.4,2024-09-06,0117,N,nominal,2.0NRT,291.6,3.59,N
51.48472,6.71374,306.03,0.49,0.4,2024-09-06,0117,N,nominal,2.0NRT,290.77,1.24,N
51.48325,6.72786,301.81,0.49,0.4,2024-09-06,0117,N,nominal,2.0NRT,290.91,1.26,N
51.48175,6.70565,325.27,0.49,0.4,2024-09-06,0117,N,nominal,2.0NRT,291.2,3.58,N
51.48028,6.71977,330.91,0.49,0.4,2024-09-06,0117,N,nominal,2.0NRT,291,4.78,N
51.48777,6.71412,305.91,0.49,0.4,2024-09-06,0117,N,nominal,2.0NRT,291.59,2.19,N
51.48483,6.70604,340.62,0.49,0.4,2024-09-06,0117,N,nominal,2.0NRT,293.62,2.19,N
51.48406,6.7131,304.2,0.49,0.4,2024-09-06,0117,N,nominal,2.0NRT,290.89,2.19,N
51.48254,6.7272,301.95,0.49,0.4,2024-09-06,0117,N,nominal,2.0NRT,290.78,1.54,N
51.4796,6.71912,329.4,0.49,0.4,2024-09-06,0117,N,nominal,2.0NRT,290.38,3.26,N
51.48112,6.70503,305.65,0.49,0.4,2024-09-06,0117,N,nominal,2.0NRT,290.33,1.09,N
51.46175,6.7433,301.62,0.49,0.4,2024-09-06,0117,N,nominal,2.0NRT,290.82,0.49,N
51.37069,6.70385,306.2,0.49,0.4,2024-09-06,0117,N,nominal,2.0NRT,290.73,1.66,N
51.37012,6.70481,303.66,0.49,0.4,2024-09-06,0117,N,nominal,2.0NRT,290.69,1.21,N
51.36936,6.71186,303.15,0.49,0.4,2024-09-06,0117,N,nominal,2.0NRT,291.96,1.67,N
51.36642,6.70382,325.16,0.49,0.4,2024-09-06,0117,N,nominal,2.0NRT,293.13,3.99,N
51.36565,6.71086,315.06,0.49,0.4,2024-09-06,0117,N,nominal,2.0NRT,292.6,1.7,N
51.36196,6.70985,308.18,0.49,0.4,2024-09-06,0117,N,nominal,2.0NRT,289.96,1.7,N
49.89426,15.63671,302.06,0.43,0.38,2024-09-06,0117,N,nominal,2.0NRT,290.06,1.02,N
48.62033,21.19285,310.62,0.47,0.48,2024-09-06,0117,N,nominal,2.0NRT,287.23,1.51,N
48.6177,21.18434,297.94,0.47,0.48,2024-09-06,0117,N,nominal,2.0NRT,287.08,2.04,N
48.61041,21.19427,301.53,0.47,0.48,2024-09-06,0117,N,nominal,2.0NRT,288.5,1.35,N
48.60935,21.17963,299.84,0.47,0.48,2024-09-06,0117,N,nominal,2.0NRT,288.92,2.76,N
48.60517,21.17727,332.08,0.47,0.48,2024-09-06,0117,N,nominal,2.0NRT,289.33,2.76,N
48.60593,21.17821,333.89,0.47,0.48,2024-09-06,0117,N,nominal,2.0NRT,289.51,5.55,N
48.59102,20.83892,298.09,0.46,0.47,2024-09-06,0117,N,nominal,2.0NRT,286.74,0.7,N
51.343,3.76986,301.55,0.42,0.45,2024-09-06,0117,N,nominal,2.0NRT,283.94,0.73,N
51.26564,4.32628,301.19,0.39,0.44,2024-09-06,0117,N,nominal,2.0NRT,289.91,0.87,N
51.256,4.34161,302.09,0.39,0.44,2024-09-06,0117,N,nominal,2.0NRT,290.03,1,N
51.17424,3.80637,331.78,0.41,0.45,2024-09-06,0117,N,nominal,2.0NRT,285.67,2.62,N
51.17375,3.81236,317.52,0.41,0.45,2024-09-06,0117,N,nominal,2.0NRT,285.06,1.74,N
51.17008,3.80552,306.51,0.41,0.45,2024-09-06,0117,N,nominal,2.0NRT,284.12,2.62,N
51.16959,3.81148,299.53,0.41,0.45,2024-09-06,0117,N,nominal,2.0NRT,283.04,1.74,N
51.16592,3.80463,298.19,0.41,0.45,2024-09-06,0117,N,nominal,2.0NRT,282.21,1.16,N
51.16543,3.8106,304.82,0.41,0.45,2024-09-06,0117,N,nominal,2.0NRT,282.27,1.57,N
50.85782,6.97587,307.99,0.47,0.4,2024-09-06,0117,N,nominal,2.0NRT,289.38,0.9,N
48.25337,20.34957,297.85,0.45,0.47,2024-09-06,0117,N,nominal,2.0NRT,283.79,0.46,N
49.95325,9.7654,306.21,0.4,0.37,2024-09-06,0120,N,nominal,2.0NRT,288.39,0.73,N
48.45687,17.19142,302.92,0.5,0.41,2024-09-06,0120,N,nominal,2.0NRT,283.13,1.18,N
45.94985,25.28121,296.31,0.42,0.61,2024-09-06,0120,N,nominal,2.0NRT,282.8,0.96,N
47.16079,20.14416,333.95,0.47,0.48,2024-09-06,0120,N,nominal,2.0NRT,286.82,5.13,N
47.16095,20.14227,338.05,0.47,0.48,2024-09-06,0120,N,nominal,2.0NRT,287.66,5.66,N
46.62175,22.03892,310.45,0.58,0.52,2024-09-06,0120,N,nominal,2.0NRT,288.45,2.69,N
45.95573,22.86678,300.38,0.33,0.55,2024-09-06,0120,N,nominal,2.0NRT,286.86,0.37,N
45.12568,25.41717,298.03,0.46,0.63,2024-09-06,0120,N,nominal,2.0NRT,283.8,0.86,N
45.12029,25.41372,303.76,0.46,0.63,2024-09-06,0120,N,nominal,2.0NRT,283.69,0.86,N
45.12141,25.41478,311.69,0.46,0.63,2024-09-06,0120,N,nominal,2.0NRT,285,1.41,N
46.11167,21.05048,302.13,0.55,0.51,2024-09-06,0120,N,nominal,2.0NRT,287.58,0.52,N
45.61572,20.735,298.23,0.54,0.51,2024-09-06,0120,N,nominal,2.0NRT,286.05,0.3,N
45.613,20.72595,328.19,0.54,0.51,2024-09-06,0120,N,nominal,2.0NRT,286.83,3.03,N
45.61472,20.71925,303.48,0.54,0.51,2024-09-06,0120,N,nominal,2.0NRT,286.28,3.03,N
45.61134,20.53696,297.98,0.53,0.5,2024-09-06,0120,N,nominal,2.0NRT,286.11,0.29,N
45.57539,20.67578,296.96,0.54,0.51,2024-09-06,0120,N,nominal,2.0NRT,285.05,0.86,N
45.57267,20.66678,301.34,0.54,0.51,2024-09-06,0120,N,nominal,2.0NRT,285.7,0.86,N
45.55334,20.70214,302.37,0.54,0.51,2024-09-06,0120,N,nominal,2.0NRT,285.56,0.91,N
45.54888,20.6998,296.83,0.54,0.51,2024-09-06,0120,N,nominal,2.0NRT,284.86,0.48,N
45.55222,20.70044,304.78,0.54,0.51,2024-09-06,0120,N,nominal,2.0NRT,285.79,1.2,N
45.50837,20.65457,300.06,0.54,0.51,2024-09-06,0120,N,nominal,2.0NRT,286.4,0.89,N
45.51763,20.59898,308.06,0.54,0.51,2024-09-06,0120,N,nominal,2.0NRT,286.54,1.89,N
45.50118,20.64322,297.21,0.54,0.51,2024-09-06,0120,N,nominal,2.0NRT,286.29,0.72,N
45.48636,20.68099,300.48,0.55,0.51,2024-09-06,0120,N,nominal,2.0NRT,286.06,1.03,N
45.49953,20.55194,301.11,0.54,0.51,2024-09-06,0120,N,nominal,2.0NRT,285.25,0.7,N
45.49269,20.57841,297.33,0.54,0.51,2024-09-06,0120,N,nominal,2.0NRT,285.5,0.46,N
45.4611,20.62225,298.14,0.54,0.51,2024-09-06,0120,N,nominal,2.0NRT,286.41,1.12,N
44.77779,22.56985,309.26,0.35,0.57,2024-09-06,0120,N,nominal,2.0NRT,284.83,0.98,N
44.77262,22.58841,308.26,0.35,0.57,2024-09-06,0120,N,nominal,2.0NRT,286,1,N
45.03508,21.41182,301.57,0.61,0.53,2024-09-06,0120,N,nominal,2.0NRT,288.3,0.93,N
44.74304,22.45121,313.24,0.34,0.56,2024-09-06,0120,N,nominal,2.0NRT,286.17,0.76,N
44.737,22.45254,301.17,0.34,0.56,2024-09-06,0120,N,nominal,2.0NRT,285.61,0.76,N
44.74252,22.44861,301.88,0.34,0.56,2024-09-06,0120,N,nominal,2.0NRT,286.02,0.81,N
44.74131,22.45299,305.46,0.34,0.56,2024-09-06,0120,N,nominal,2.0NRT,285.95,0.9,N
43.68348,25.59427,296.72,0.51,0.66,2024-09-06,0120,N,nominal,2.0NRT,286.05,0.71,N
44.98036,21.14192,302.1,0.59,0.53,2024-09-06,0120,N,nominal,2.0NRT,287.54,1.14,N
44.54277,22.53433,299.44,0.35,0.57,2024-09-06,0120,N,nominal,2.0NRT,283.62,1.02,N
44.54155,22.53866,317.04,0.35,0.57,2024-09-06,0120,N,nominal,2.0NRT,284.18,1.18,N
44.5353,22.54057,324.62,0.35,0.57,2024-09-06,0120,N,nominal,2.0NRT,284.95,2.51,N
44.53652,22.53625,309.24,0.35,0.57,2024-09-06,0120,N,nominal,2.0NRT,284.44,2.51,N
44.53409,22.5449,317.84,0.35,0.57,2024-09-06,0120,N,nominal,2.0NRT,284.04,1.75,N
44.52911,22.54227,319.71,0.35,0.57,2024-09-06,0120,N,nominal,2.0NRT,282.96,1.75,N
43.75388,25.13552,296.05,0.49,0.65,2024-09-06,0120,N,nominal,2.0NRT,285.76,0.26,N
44.70192,21.56154,323.59,0.63,0.54,2024-09-06,0120,N,nominal,2.0NRT,289.03,4.91,N
44.69989,21.56905,315.41,0.63,0.54,2024-09-06,0120,N,nominal,2.0NRT,289.09,2.15,N
44.69784,21.57666,303.55,0.63,0.54,2024-09-06,0120,N,nominal,2.0NRT,288.66,2.15,N
44.32556,22.77535,296.58,0.37,0.58,2024-09-06,0120,N,nominal,2.0NRT,283.91,0.5,N
44.21739,22.94038,327.89,0.37,0.58,2024-09-06,0120,N,nominal,2.0NRT,284.74,2.11,N
